state,TL,TC,TR,ML,MC,MR,BL,BC,BR
X+_+X+_+_+_+X+O+O,0.0,0.15302378801741398,0.0,0.0,0.17051747204516285,0.007036874417766406,0.0,0.0,0.0
X+_+X+_+_+O+X+O+O,0.0,0.0,0.0,0.0,0.0,0.9992077183748576,0.0,0.36000000000000004,0.0
_+_+X+_+_+_+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7700262219074195,0.2
_+_+X+_+_+_+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4461295849284345
_+_+O+X+X+_+ + + ,0.6248823340673805,0.4649358844576156,0.0,0.0,0.0,0.8996137075948769,0.2268887741275065,0.26429212420954457,0.628283138407754
_+_+O+X+X+_+ +X+O,0.5409937559971003,0.8333936157829402,0.0,0.0,0.0,0.9999999999999998,0.2064752700321563,0.0,0.0
_+_+O+X+X+_+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.36000000000000004,0.0,0.0
_+_+O+X+X+_+ + +O,0.0,0.0,0.10119168000000006,0.0,0.0,0.0,0.0,0.0,0.4314496
_+_+O+_+X+_+ + + ,0.0,0.0,0.10706801575869494,0.0,0.0,0.0,0.0,0.0,0.0
_+O+X+X+_+O+X+O+X,0.0,0.0,0.0,0.0,0.999833846500527,0.0,0.0,0.0,0.0
_+O+X+X+O+O+X+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+O+_+X+_+O+X+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+X+_+O+ +O+X,0.0,0.0,0.0,0.0,0.0,0.01725898752000001,0.0,0.20726977493181148,0.0
_+_+X+_+X+_+ + +O,0.2538575219693548,0.5050476439409383,0.0,0.4756193521528342,0.0,0.2479805394898425,0.8853127129215879,0.42768277544877054,0.0
O+_+X+X+X+_+ +O+O,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000006,0.0
_+_+X+_+X+_+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686706897570164,0.0
_+_+_+_+X+_+ + + ,0.6588761194551656,0.5361531708095535,0.6405241830727075,0.5289154922403623,0.0,0.6574332754531158,0.6131316773898348,0.5426786203056405,0.6524258748317262
_+_+_+_+X+_+ +X+O,0.21877560885474434,0.5316265417589249,0.7115756784917939,0.429137839613688,0.0,0.3115507488188851,0.3834277121010893,0.0,0.0
_+_+_+X+X+_+O+X+O,0.0,0.19191696303681333,0.21157242537267726,0.0,0.0,0.4528047243931125,0.0,0.0,0.0
_+O+X+X+X+O+O+X+O,0.0,0.4996038591874288,0.0,0.0,0.0,0.3951424000000001,0.0,0.0,0.0
_+_+_+X+X+O+O+X+O,0.0,0.0,0.0,0.0,0.0,0.4013222012137375,0.06359040000000002,0.0,0.0
_+_+_+_+X+_+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.6486111386555026,0.0,0.1361371881904276
_+_+_+_+X+_+ + +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30230890542759875
_+_+O+O+_+X+X+ +X,0.2569811377847925,0.2126335833811735,0.0,0.0,0.24675219694803802,0.0,0.0,0.3888512171372859,0.0
_+X+O+O+_+X+X+O+X,0.465640261632,0.0,0.0,0.0,0.4999970769967255,0.0,0.0,0.0,0.0
_+X+O+O+O+X+X+O+X,0.0,0.0,0.244,0.18000000000000002,0.1,0.0,0.0,0.0,0.0
_+_+O+O+_+X+X+O+X,0.0,0.0,0.014400000000000003,0.0,0.0,0.0,0.0,0.0,0.0
_+_+O+O+_+_+X+ +X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+O+_+_+X+ + ,0.0,0.0,0.0,0.03604969623548498,0.0,0.0,0.0,0.0,0.0
O+O+X+X+_+_+ +X+ ,0.0,0.0,0.0,0.0,0.498793020427369,0.21712195517738106,0.3725295003376899,0.0,0.2254232089538721
O+O+X+X+_+X+ +X+O,0.0,0.0,0.0,0.0,0.9999999987858323,0.0,0.0,0.0,0.0
O+O+X+X+_+X+O+X+O,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+O+X+X+_+_+ +X+O,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+O+X+X+_+_+ + + ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+_+X+_+_+_+ + + ,0.033659308796313625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+_+_+_+_+_+X+ +O,0.0,0.2886415845171993,0.7217979356559123,0.4413616894648927,0.3063425740278449,0.4060719847866709,0.0,0.2414581289755735,0.0
X+_+_+_+X+_+X+O+O,0.0,0.0,0.4946301206045197,0.27510396454577785,0.0,0.3302545946107216,0.0,0.0,0.0
X+_+_+_+X+O+X+O+O,0.0,0.0,0.0,0.0,0.0,0.9450293785479534,0.0,0.488,0.0
X+_+_+_+_+_+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6754598293947444,0.488
X+_+O+O+X+X+X+O+O,0.0,0.0,0.4909928007452591,0.244,0.0,0.0,0.0,0.0,0.0
X+_+O+_+_+X+X+O+O,0.0,0.0,0.36000000000000004,0.0,0.0,0.0,0.0,0.3528000000000001,0.0
_+_+X+X+_+_+ + +O,0.7624326914427846,0.631307130436311,0.0,0.0,0.7236281575714898,0.4786509761871017,0.7460814149895673,0.7801008899441921,0.0
_+_+X+X+_+_+X+O+O,0.3274957680401622,0.2149978371567947,0.0,0.0,0.6572750604964279,1.4623703032550021e-05,0.0,0.0,0.0
_+_+X+X+_+O+X+O+O,0.0,0.0,0.0,0.0,0.0,0.9537606229214322,0.0,0.33493345041920825,0.0
_+_+X+X+_+_+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833155179363388,0.03528000000000001
_+X+O+_+_+_+ + +X,0.5334470692423943,0.0,0.0,0.5283273817821594,0.7961530009245463,0.4551316209972638,0.7369436381280278,0.5702303006617491,0.0
_+X+O+_+_+X+ +O+X,0.3687248270240502,0.0,0.0,0.39572707707439336,0.6577408711783453,0.0,0.4945736664442914,0.0,0.0
_+X+O+_+X+X+O+O+X,0.0,0.0,0.0,8.627182933488242e-09,0.0,0.0,0.0,0.0,0.0
_+X+O+O+X+X+O+O+X,0.0,0.0,0.67232,0.36000000000000004,0.0,0.0,0.0,0.0,0.0
_+X+O+_+_+X+O+O+X,0.0,0.0,0.05184000000000001,0.0,0.0,0.0,0.0,0.0,0.0
_+X+O+_+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
